loan id,original interest rate,original UPB,original loan term,original LTV ratio,debt to income,original list price,Current Loan Delinquency Status,delinquent
127276201263,5.125,89000.0,360,75,47.0,,0,False
127375500351,4.625,110000.0,360,74,48.0,,0,False
127413926000,3.99,469000.0,360,57,45.0,,4,True
127593349221,5.125,119000.0,360,90,42.0,,0,False
127660178254,5.625,882000.0,360,70,46.0,,0,False
127762768261,4.99,91000.0,360,65,22.0,,0,False
127775661549,4.125,151000.0,144,74,49.0,,0,False
128182638704,5.0,144000.0,360,77,13.0,,0,False
128202626827,4.5,130000.0,120,36,24.0,,0,False
128231321219,4.75,312000.0,360,41,26.0,,0,False
128265783156,5.875,144000.0,360,64,45.0,,0,False
128597715060,4.625,260000.0,360,66,33.0,,0,False
128600835842,5.75,124000.0,360,80,26.0,,0,False
128759887905,5.0,111000.0,360,97,36.0,,0,False
129037379607,5.125,140000.0,360,90,50.0,,0,False
129170180671,4.875,241000.0,360,90,49.0,,1,True
129224251889,4.75,360000.0,360,55,44.0,,3,True
129262214263,4.875,413000.0,360,59,42.0,,1,True
129283837043,4.875,264000.0,360,80,44.0,,0,False
129409647077,5.25,253000.0,360,35,45.0,,1,True
129422892855,4.625,200000.0,360,26,33.0,,0,False
129604745329,4.5,90000.0,180,70,25.0,,0,False
129732793222,4.875,112000.0,240,75,44.0,,0,False
129834073343,4.5,46000.0,360,18,27.0,,0,False
129890750426,4.875,553000.0,360,90,40.0,,0,False
130006337878,5.25,143000.0,360,95,41.0,,0,False
130023401696,4.875,110000.0,180,9,38.0,,0,False
130094242764,4.625,168000.0,360,95,26.0,,0,False
130154194586,4.25,404000.0,360,56,29.0,,18,True
130198278288,4.5,225000.0,240,59,42.0,,1,True
130395503799,4.5,281000.0,360,64,40.0,,0,False
130439205336,5.99,649000.0,360,77,5.0,,23,True
130475330449,4.5,111000.0,360,80,32.0,,0,False
130547739935,4.875,312000.0,360,80,23.0,,0,False
130553638551,6.0,28000.0,360,80,33.0,,0,False
130572736089,4.5,235000.0,360,21,35.0,,0,False
130573875503,6.0,338000.0,360,69,35.0,,14,True
130626112819,5.125,100000.0,360,38,41.0,,2,True
130749852360,4.625,145000.0,360,43,35.0,,0,False
130876911589,5.25,94000.0,360,75,21.0,,0,False
130933365130,5.25,558000.0,360,90,35.0,,0,False
131014450128,4.625,144000.0,360,80,48.0,,0,False
131090995998,5.5,438000.0,360,70,36.0,,0,False
131141477691,5.125,131000.0,360,97,49.0,,3,True
131284636774,5.5,200000.0,360,60,46.0,,0,False
131401211851,4.75,484000.0,360,77,42.0,,0,False
131441239694,5.25,311000.0,360,51,42.0,,0,False
131525265478,4.75,119000.0,360,80,41.0,,0,False
131585429977,4.25,304000.0,360,80,33.0,,0,False
131669234176,4.625,218000.0,360,57,18.0,,0,False
131753471477,5.25,625000.0,360,50,38.0,,0,False
131774523654,5.375,599000.0,360,81,45.0,,0,False
131911426841,4.875,250000.0,360,97,45.0,,0,False
132108649223,5.875,680000.0,360,75,12.0,,23,True
132230053591,4.875,310000.0,360,97,42.0,,0,False
132260921565,4.875,150000.0,360,74,41.0,,1,True
132282071980,5.75,436000.0,360,80,50.0,,17,True
132380467402,4.375,378000.0,360,90,36.0,,0,False
132462406441,5.125,338000.0,360,75,16.0,,0,False
132547823161,5.0,188000.0,360,66,32.0,,0,False
132679329149,5.0,180000.0,360,78,28.0,,0,False
132702723777,5.875,499000.0,360,75,46.0,,0,False
132805961083,4.875,114000.0,360,97,49.0,,0,False
132810948082,4.5,563000.0,360,90,49.0,,0,False
132829121261,4.75,170000.0,240,85,30.0,,0,False
132832221314,4.875,300000.0,360,80,44.0,,0,False
132857131214,5.375,640000.0,360,80,43.0,,0,False
132870680247,5.25,387000.0,360,90,36.0,,0,False
132939120538,5.25,383000.0,360,85,49.0,,5,True
133079948831,6.0,505000.0,360,67,32.0,,0,False
133184455877,4.99,591000.0,240,60,28.0,,0,False
133536007409,4.875,263000.0,360,62,49.0,,0,False
133580112202,4.875,669000.0,360,70,23.0,,0,False
133744983923,4.875,456000.0,360,95,30.0,,0,False
133766084274,4.625,256000.0,360,95,28.0,,0,False
133815745330,4.875,295000.0,360,43,49.0,,17,True
133919309334,4.75,365000.0,360,67,30.0,,0,False
133929535291,4.625,293000.0,360,90,21.0,,0,False
133976749859,4.875,440000.0,360,80,43.0,,0,False
134242112646,6.375,458000.0,360,75,44.0,,0,False
134274183713,4.5,280000.0,360,80,33.0,,0,False
134296020852,4.875,380000.0,360,66,25.0,,0,False
134504891096,4.875,142000.0,360,60,48.0,,0,False
134507428105,5.25,200000.0,360,49,48.0,,1,True
134702731383,5.25,204000.0,360,97,43.0,,0,False
134748106951,4.99,346000.0,360,70,38.0,,0,False
134844458051,4.875,466000.0,360,80,33.0,,4,True
134996596430,4.875,369000.0,360,90,39.0,,0,False
135012132478,4.625,197000.0,360,32,49.0,,0,False
135310577366,3.75,159000.0,180,66,34.0,,0,False
135348462464,5.125,148000.0,360,80,50.0,,11,True
135412768647,4.5,280000.0,360,80,31.0,,0,False
135467777690,5.375,105000.0,360,95,49.0,,0,False
135479777022,4.375,374000.0,360,75,32.0,,0,False
135481731448,4.25,133000.0,180,58,42.0,,0,False
135524488483,4.99,195000.0,360,74,29.0,,0,False
135749324637,4.625,288000.0,360,80,38.0,,0,False
135810822180,5.5,330000.0,360,57,45.0,,0,False
135814573711,4.75,459000.0,360,90,36.0,,0,False
135830096547,4.75,209000.0,360,22,40.0,,0,False
135837705395,5.25,124000.0,360,90,27.0,,1,True
135878280783,4.875,170000.0,360,90,38.0,,0,False
135982309674,4.875,221000.0,360,75,48.0,,3,True
136040138372,4.625,224000.0,360,80,20.0,,0,False
136135560070,4.875,266000.0,360,80,42.0,,0,False
136279514269,4.875,131000.0,360,90,44.0,,0,False
136332105949,4.375,379000.0,180,57,28.0,,0,False
136365000844,4.875,255000.0,360,97,39.0,,0,False
136391851774,5.375,100000.0,360,75,22.0,,0,False
136469929845,4.375,120000.0,240,24,20.0,,0,False
136529017734,4.875,340000.0,180,80,49.0,,0,False
136655352351,4.375,266000.0,180,77,46.0,,0,False
136770257677,5.5,638000.0,360,73,49.0,,1,True
136774247873,5.0,278000.0,360,35,40.0,,0,False
136779038481,4.75,300000.0,360,90,20.0,,0,False
136948354350,5.125,512000.0,360,80,48.0,,1,True
136976300719,4.875,212000.0,360,80,47.0,,0,False
137056627648,4.625,300000.0,240,49,34.0,,0,False
137183516460,4.625,125000.0,360,34,40.0,,0,False
137314516965,4.875,480000.0,360,80,37.0,,0,False
137394395608,4.375,360000.0,360,80,44.0,,0,False
137559130214,5.625,147000.0,360,75,47.0,,0,False
137582649295,5.625,327000.0,360,40,40.0,,3,True
137613780441,4.5,78000.0,120,10,33.0,,2,True
137674693552,4.75,203000.0,180,47,41.0,,0,False
137818497700,5.125,257000.0,360,85,47.0,,0,False
137822572129,3.875,217000.0,180,26,49.0,,0,False
137841792714,4.25,164000.0,360,80,21.0,,0,False
137964584316,4.875,356000.0,360,95,46.0,,0,False
137975343680,4.875,408000.0,360,85,14.0,,0,False
138130033369,4.75,480000.0,180,75,44.0,,5,True
138201500397,4.375,521000.0,360,80,37.0,,0,False
138203609166,5.625,600000.0,360,71,37.0,,0,False
138264972155,4.625,320000.0,360,80,31.0,,0,False
138301244088,5.5,520000.0,360,80,44.0,,0,False
138401701755,5.375,196000.0,360,95,35.0,,18,True
