action_taken,loan_type,loan_amount,income,debt_to_income_ratio,loan_to_value_ratio,interest_rate,property_value,loan_term,loan_type.1,loan_purpose,occupancy_type,applicant_age,negative_amortization,rate_spread,derived_race_2 or more minority races,derived_race_American Indian or Alaska Native,derived_race_Asian,derived_race_Black or African American,derived_race_Free Form Text Only,derived_race_Joint,derived_race_Native Hawaiian or Other Pacific Islander,derived_race_Race Not Available,derived_race_White,derived_sex_Female,derived_sex_Joint,derived_sex_Male,derived_sex_Sex Not Available,y_pred
1,1,85000.0,114.0,10.0,25.161,2.75,315000.0,180.0,1,4,1,70.0,2,-0.364,False,False,False,False,False,False,False,False,True,True,False,False,False,1
5,1,135000.0,8.0,,,,,240.0,1,32,1,40.0,2,,False,False,False,False,False,False,False,False,True,False,False,True,False,1
3,1,35000.0,143.0,10.0,100.07,,145000.0,360.0,1,2,1,50.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
3,1,35000.0,248.0,,,,,,1,4,1,50.0,1111,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,1995000.0,1007.0,33.0,51.282,3.0,3905000.0,360.0,1,32,1,50.0,2,-0.314,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,2,75000.0,71.0,25.0,,4.75,75000.0,360.0,2,1,1,30.0,2,1.494,False,False,False,False,False,False,False,False,True,False,True,False,False,1
4,4,165000.0,51.0,,,,,360.0,4,1,1,40.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
2,1,15000.0,47.0,,,,,,1,4,1,30.0,1111,,False,False,False,False,False,False,False,False,True,True,False,False,False,1
4,1,45000.0,92.0,,,,,360.0,1,4,1,50.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
2,1,405000.0,137.0,46.0,55.47945,4.125,735000.0,360.0,1,31,3,40.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,675000.0,113.0,42.0,89.03,4.5,755000.0,360.0,1,31,1,40.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,215000.0,179.0,25.0,28.66,4.375,755000.0,360.0,1,32,1,50.0,2,0.1751,False,False,False,False,False,False,False,False,True,True,False,False,False,1
1,1,105000.0,106.0,45.0,12.52,5.125,875000.0,360.0,1,32,1,40.0,2,0.7259,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,105000.0,211.0,25.0,53.96,3.99,505000.0,360.0,1,2,1,60.0,2,-1.17,False,False,False,False,False,False,False,False,True,False,False,True,False,1
3,1,55000.0,1140.0,10.0,30.8,,255000.0,300.0,1,2,1,50.0,2,,False,False,False,False,False,False,False,False,True,False,False,True,False,1
4,2,195000.0,127.0,,,,,360.0,2,32,1,50.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
6,3,815000.0,,,,4.875,985000.0,360.0,3,1,1,50.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
3,1,45000.0,26.0,,,,,,1,1,1,23.0,1111,,False,False,False,False,False,False,False,False,True,True,False,False,False,1
1,2,165000.0,,,,4.25,,360.0,2,4,1,40.0,2,,False,False,False,False,False,False,False,False,True,False,False,True,False,1
1,1,485000.0,258.0,25.0,33.379,3.0,1455000.0,180.0,1,31,1,50.0,2,-0.271,False,False,False,False,False,False,False,True,False,False,False,False,True,1
1,1,95000.0,167.0,41.0,80.0,3.99,485000.0,360.0,1,2,1,40.0,2,-1.15,False,False,False,False,False,False,False,False,True,False,True,False,False,1
5,1,45000.0,135.0,,,,,360.0,1,2,1,50.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
4,1,55000.0,81.0,,,,,180.0,1,2,1,40.0,2,,False,False,False,False,False,False,False,False,True,False,False,True,False,1
1,1,25000.0,100.0,10.0,69.576,3.99,145000.0,120.0,1,2,1,50.0,2,0.48,False,False,False,False,False,False,False,False,True,True,False,False,False,1
1,1,805000.0,864.0,25.0,61.54,2.35,1305000.0,360.0,1,31,2,30.0,2,-0.203,False,False,False,False,False,False,False,False,True,False,False,True,False,1
1,1,1205000.0,,43.0,76.19,3.125,1575000.0,360.0,1,32,2,50.0,2,-0.277,False,False,False,False,False,False,False,False,True,True,False,False,False,1
3,1,405000.0,,,28.57,,1405000.0,360.0,1,2,1,50.0,2,,False,False,False,False,False,False,False,False,True,True,False,False,False,1
1,1,685000.0,167.0,48.0,77.841,4.49,885000.0,360.0,1,31,1,40.0,2,0.886,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,145000.0,98.0,25.0,47.541,4.0,305000.0,240.0,1,4,1,50.0,2,0.86,False,False,False,False,False,False,False,False,True,True,False,False,False,1
3,1,155000.0,101.0,33.0,15.79,,955000.0,355.0,1,2,1,30.0,2,,False,False,False,False,False,False,False,False,True,False,False,True,False,1
1,1,625000.0,37.0,10.0,73.529,3.5,855000.0,360.0,1,31,3,30.0,2,0.242,False,False,False,False,False,False,False,False,True,True,False,False,False,1
1,1,855000.0,566.0,25.0,35.789,3.25,2375000.0,360.0,1,32,2,40.0,2,-0.251,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,75000.0,136.0,36.0,79.92,3.5,265000.0,300.0,1,2,1,40.0,2,-1.52,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,25000.0,91.0,25.0,72.76,2.99,175000.0,240.0,1,4,1,40.0,2,-1.26,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,485000.0,275.0,25.0,60.0,3.375,805000.0,240.0,1,32,1,50.0,2,0.15,False,False,False,False,False,False,False,False,True,False,False,True,False,1
3,1,55000.0,179.0,10.0,72.2,,405000.0,360.0,1,2,1,50.0,2,,False,False,False,False,False,False,False,True,False,False,True,False,False,1
3,1,35000.0,150.0,10.0,50.0,,65000.0,300.0,1,2,1,50.0,2,,False,False,False,False,False,False,False,False,True,False,False,True,False,1
1,1,35000.0,120.0,10.0,9.0,,345000.0,120.0,1,1,1,30.0,2,,False,False,False,False,False,False,False,False,True,False,False,True,False,1
4,2,135000.0,,,,,,360.0,2,31,1,50.0,2,,False,False,False,False,False,False,False,False,True,True,False,False,False,1
1,1,305000.0,177.0,25.0,54.545,3.875,555000.0,360.0,1,32,1,50.0,2,0.09,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,485000.0,295.0,25.0,37.9,3.125,1285000.0,360.0,1,32,1,50.0,2,-0.449,False,False,False,False,False,False,False,False,True,False,False,True,False,1
3,1,655000.0,151.0,33.0,65.99,,985000.0,360.0,1,4,1,30.0,2,,False,False,False,False,False,True,False,False,False,True,False,False,False,1
3,1,35000.0,66.0,37.0,124.94,,95000.0,360.0,1,4,1,40.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
3,1,105000.0,518.0,25.0,87.1,,525000.0,360.0,1,2,1,70.0,2,,False,False,False,False,False,False,False,False,True,False,True,False,False,1
3,1,85000.0,104.0,10.0,132.67,,305000.0,360.0,1,2,1,30.0,2,,False,False,False,False,False,False,False,True,False,False,False,True,False,1
1,1,505000.0,459.0,10.0,50.76,3.49,985000.0,360.0,1,2,1,50.0,2,0.075,False,False,False,False,False,False,False,False,True,False,True,False,False,1
1,1,145000.0,86.0,33.0,95.0,4.5,155000.0,240.0,1,1,1,30.0,2,0.859,False,False,False,False,False,False,False,False,True,False,False,True,False,1
1,1,525000.0,198.0,33.0,82.677,4.625,635000.0,360.0,1,32,1,60.0,2,0.245,False,False,False,False,False,False,False,False,True,False,True,False,False,1
